ID_POSLA,SIFRA_KO,IME_KO,OBCINA,PARCELNA_STEVILKA,VRSTA_ZEMLJISCA,VRSTA_TRAJNEGA_NASADA,STAROST_TRAJNEGA_NASADA,PRODANI_DELEZ_PARCELE,OPOMBE_O_NEPREMICNINI,POVRSINA_PARCELE,POGODBENA_CENA_PARCELE,STOPNJA_DDV_PARCELE,E_CENTROID,N_CENTROID,LETO,RPE_OBCINE_SIFRA
-53829,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,198/1,5,,,1/1,,630,,,,,2007,61
-53829,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,199/1,5,,,1/1,,521,,,,,2007,61
-53829,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,199/73,5,,,1/1,,27,,,,,2007,61
-53829,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,199/74,5,,,1/1,,245,,,,,2007,61
-53829,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,199/76,5,,,1/1,,475,,,,,2007,61
-53829,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,199/77,5,,,1/1,,1,,,,,2007,61
-53829,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,197/1,3,,,1/1,,1366,,,463307.39,99449.01,2007,61
-53829,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,197/3,3,,,1/1,,314,,,463281.94,99449.86,2007,61
-53829,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,210/57,3,,,1/1,,64,,,463335.3,99417.2,2007,61
-53829,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,210/58,3,,,1/1,,39,,,463348.66,99429.43,2007,61
-53829,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,197/34,3,,,1/1,,25,,,463327.38,99451.4,2007,61
-53829,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,198/35,3,,,1/1,,11,,,463307.2,99420.42,2007,61
-53829,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,198/34,3,,,1/1,,30,,,463304.42,99422.74,2007,61
-53810,1739,ZGORNJA ŠIŠKA,LJUBLJANA,1065/294,3,,,1/1,,44,,,459305.48,103174.65,2007,61
-53771,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,197/1,7,,,1/1,,1366,,,463307.39,99449.01,2007,61
-53771,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,197/34,7,,,1/1,,25,,,463327.38,99451.4,2007,61
-53771,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,198/34,7,,,1/1,,30,,,463304.42,99422.74,2007,61
-53771,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,198/35,7,,,1/1,,11,,,463307.2,99420.42,2007,61
-53771,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,210/58,3,,,1/1,,39,,,463348.66,99429.43,2007,61
-53771,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,197/3,7,,,1/1,,314,,,463281.94,99449.86,2007,61
-53771,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,210/57,3,,,1/1,,64,,,463335.3,99417.2,2007,61
-53771,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,199/75,5,,,1/1,,215,,,,,2007,61
-53771,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,198/1,5,,,1/1,,630,,,,,2007,61
-53771,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,199/1,5,,,1/1,,521,,,,,2007,61
-53771,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,199/73,5,,,1/1,,27,,,,,2007,61
-53771,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,199/74,5,,,1/1,,245,,,,,2007,61
-53771,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,199/76,5,,,1/1,,475,,,,,2007,61
-53771,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,199/77,5,,,1/1,,1,,,,,2007,61
-53539,1710,GRADIŠČE,LJUBLJANA,1181/9,7,,,1/1,,717,,,467259.11,89011.6,2007,61
-53526,1733,BIZOVIK,LJUBLJANA,456/2,5,,,1/1,,145,,,,,2007,61
-53521,1772,SLAPE,LJUBLJANA,1424/1,5,,,1/1,,54,,,,,2007,61
-53502,1756,ČRNUČE,LJUBLJANA,145/1,3,,,30/200,,567,,,463353.05,106947.26,2007,61
-53495,1736,BRINJE I,LJUBLJANA,323/3,3,,,1/1,,242,,,462364.27,104625.22,2007,61
