SIFRA_KO_A,IME_KO_A,SIFRA_KO_B,IME_KO_B
1734,JEŽICA,1754,ŠENTVID NAD LJUBLJANO
1734,JEŽICA,1753,VIŽMARJE
1734,JEŽICA,1751,TACEN
1735,STOŽICE,2680,NOVE JARŠE
1735,STOŽICE,1759,PODGORICA
1735,STOŽICE,1757,NADGORICA
1735,STOŽICE,2681,BRINJE II
1735,STOŽICE,1736,BRINJE I
1735,STOŽICE,1756,ČRNUČE
1735,STOŽICE,1738,DRAVLJE
1736,BRINJE I,2706,ZELENA JAMA
1736,BRINJE I,2636,BEŽIGRAD
1736,BRINJE I,2681,BRINJE II
1736,BRINJE I,1738,DRAVLJE
1737,TABOR,2636,BEŽIGRAD
1738,DRAVLJE,2682,BRDO
1738,DRAVLJE,2683,GRIČ
1738,DRAVLJE,1740,SPODNJA ŠIŠKA
1738,DRAVLJE,2636,BEŽIGRAD
1738,DRAVLJE,1739,ZGORNJA ŠIŠKA
1738,DRAVLJE,1755,GLINCE
1738,DRAVLJE,1754,ŠENTVID NAD LJUBLJANO
1739,ZGORNJA ŠIŠKA,2682,BRDO
1739,ZGORNJA ŠIŠKA,1740,SPODNJA ŠIŠKA
1740,SPODNJA ŠIŠKA,2682,BRDO
1740,SPODNJA ŠIŠKA,2636,BEŽIGRAD
1755,GLINCE,2683,GRIČ
1755,GLINCE,1982,ŠUJICA
1756,ČRNUČE,1757,NADGORICA
1757,NADGORICA,1759,PODGORICA
1759,PODGORICA,1771,ZADOBROVA
1770,KAŠELJ,1775,SOSTRO
1770,KAŠELJ,1777,JAVOR
1770,KAŠELJ,1773,DOBRUNJE
1770,KAŠELJ,1778,VOLAVLJE
1770,KAŠELJ,1772,SLAPE
1770,KAŠELJ,1771,ZADOBROVA
1771,ZADOBROVA,1772,SLAPE
1772,SLAPE,1773,DOBRUNJE
1773,DOBRUNJE,1775,SOSTRO
1775,SOSTRO,1777,JAVOR
1777,JAVOR,1778,VOLAVLJE
1778,VOLAVLJE,1779,TREBELJEVO
2677,PRULE,2678,GOLOVEC
2680,NOVE JARŠE,2681,BRINJE II
2681,BRINJE II,2706,ZELENA JAMA
2682,BRDO,2683,GRIČ
2636,BEŽIGRAD,2706,ZELENA JAMA
1982,ŠUJICA,1994,DOBROVA
1982,ŠUJICA,2682,BRDO
1982,ŠUJICA,2683,GRIČ
1994,DOBROVA,1995,PODSMREKA
